seendate,title,url,domain,sourceCountry,language,snippet,date,ticker,text
20251020T143000Z,Product roundup : Two insurers launch new seg funds | Investment Executive,https://www.investmentexecutive.com/news/product-roundup-two-insurers-launch-new-seg-funds/,investmentexecutive.com,,English,,2025-10-20,2800.HK,Product roundup : Two insurers launch new seg funds | Investment Executive
20251014T204500Z,Product roundup : Two insurers launch new seg funds | Investment Executive,https://www.investmentexecutive.com/uncategorized/product-roundup-two-insurers-launch-new-seg-funds/,investmentexecutive.com,,English,,2025-10-14,2800.HK,Product roundup : Two insurers launch new seg funds | Investment Executive
20251230T133000Z,393亿  扫地茅 ， 又要IPO了|雷军|小米|ipo|知名企业|扫地机器人,https://www.163.com/dy/article/KI29E73N05198V5T.html,163.com,,Chinese,,2025-12-30,0700.HK,393亿  扫地茅 ， 又要IPO了|雷军|小米|ipo|知名企业|扫地机器人
20251230T114500Z,氪星晚报｜L4级智能体母体系统MasterAgent全面开放 ； 京东与华为达成战略合作 ； 百度智能云推全栈AI方案,https://www.163.com/dy/article/KI2422UL05118DFD.html,163.com,,Chinese,,2025-12-30,0700.HK,氪星晚报｜L4级智能体母体系统MasterAgent全面开放 ； 京东与华为达成战略合作 ； 百度智能云推全栈AI方案
20251230T114500Z,2025年度微信朋友圈谣言热榜 ： 封号新规 、 老头乐C7驾照等 _ 网易订阅,https://www.163.com/dy/article/KI2364200511B8LM.html,163.com,,Chinese,,2025-12-30,0700.HK,2025年度微信朋友圈谣言热榜 ： 封号新规 、 老头乐C7驾照等 _ 网易订阅
20251230T114500Z,英矽智能股價暴漲42 . 2 %! AI制藥首股刷新港股紀錄 | 國際,https://newtalk.tw/news/view/2025-12-30/1012414,newtalk.tw,,Chinese,,2025-12-30,0700.HK,英矽智能股價暴漲42 . 2 %! AI制藥首股刷新港股紀錄 | 國際
20251230T111500Z,"Insilico Medicine Lists on Hong Kong Stock Exchange , Showing AI Drug Discovery Momentum with 2025 Largest Hong Kong Biotech IPO",http://www.prnewswire.com/news-releases/insilico-medicine-lists-on-hong-kong-stock-exchange-showing-ai-drug-discovery-momentum-with-2025s-largest-hong-kong-biotech-ipo-302650606.html,prnewswire.com,,English,,2025-12-30,0700.HK,"Insilico Medicine Lists on Hong Kong Stock Exchange , Showing AI Drug Discovery Momentum with 2025 Largest Hong Kong Biotech IPO"
20251230T111500Z,港股收评 ： 三大指数齐涨 ！ 半导体 、 机器人概念股强势 ， 风电股低迷 _ 市场分析 _ 港股 _ 中金在线,http://hkstock.cnfol.com/shichangfenxi/20251230/31903565.shtml,hkstock.cnfol.com,,Chinese,,2025-12-30,0700.HK,港股收评 ： 三大指数齐涨 ！ 半导体 、 机器人概念股强势 ， 风电股低迷 _ 市场分析 _ 港股 _ 中金在线
20251230T103000Z,揭密MiniMax不为人知的B面,https://www.163.com/dy/article/KI1VFJPC05118O92.html,163.com,,Chinese,,2025-12-30,0700.HK,揭密MiniMax不为人知的B面
20251230T103000Z,英矽智能港股募22 . 8亿港元首日涨24 . 7 % 近三年半均亏 _ 证券要闻 _ 财经 _ 中金在线,http://news.cnfol.com/zhengquanyaowen/20251230/31903506.shtml,news.cnfol.com,,Chinese,,2025-12-30,0700.HK,英矽智能港股募22 . 8亿港元首日涨24 . 7 % 近三年半均亏 _ 证券要闻 _ 财经 _ 中金在线
